year,pctmedcat1,pctmedcat2,pctmedcat3,pctmedcat4,pctmedcat5,pctmedcat6
1970,.0428532,.106185,.3661069,.3398242,.1152223,.0298083
1980,.0890957,.1232121,.2743362,.3354766,.1192709,.0586086
1990,.0953332,.1114736,.2654011,.3261824,.1213184,.0802913
2000,.1093752,.093227,.3016791,.2509891,.1405893,.1041402
2007,.1300808,.0934672,.2677883,.2768536,.1385496,.0932605
