year,pctmedcat1,pctmedcat2,pctmedcat3,pctmedcat4,pctmedcat5,pctmedcat6
1970,.1073622,.0709413,.346303,.269276,.1286896,.077428
1980,.1212506,.0840238,.3109587,.2581655,.1581548,.0674466
1990,.1216592,.1079187,.2815805,.2240184,.1454722,.119351
2000,.1391837,.1051848,.2674376,.1919664,.1424324,.1537951
2007,.1685756,.0735663,.2210189,.2499146,.1223793,.1645452
