year,pctmedcat1,pctmedcat2,pctmedcat3,pctmedcat4,pctmedcat5,pctmedcat6
1970,.0979011,.1246129,.2839848,.2986712,.1025305,.0922995
1980,.1817889,.1126693,.1935972,.2476414,.1239426,.1403608
1990,.20305,.1167033,.1799132,.1954492,.1244745,.1804097
2000,.2264836,.1221476,.1568891,.1727123,.1062683,.2154991
2007,.2330175,.1127544,.1604791,.1483312,.1209962,.2244215
