year,pctmedcat1,pctmedcat2,pctmedcat3,pctmedcat4,pctmedcat5,pctmedcat6
1970,.0347633,.0700189,.4407192,.3234175,.0917928,.0392883
1980,.0493779,.1011735,.3658955,.3663698,.074213,.0429704
1990,.0856031,.1459981,.2977115,.2618046,.117404,.0914786
2000,.0939629,.126034,.3101429,.2515413,.1234339,.0948851
2007,.1219493,.1221908,.2516831,.2689786,.1236424,.1115557
