year,pctmedcat1,pctmedcat2,pctmedcat3,pctmedcat4,pctmedcat5,pctmedcat6
1970,.0180965,.1100014,.3799811,.331762,.0883607,.0717982
1980,.0402594,.0994844,.3628995,.3432461,.0922883,.0618224
1990,.0300941,.1059529,.3780817,.3341884,.0865932,.0650897
2000,.0503683,.1016531,.3752335,.3064763,.0970766,.0691922
2007,.0532519,.1189901,.3143913,.3429054,.1031645,.0672967
