year,pctmedcat1,pctmedcat2,pctmedcat3,pctmedcat4,pctmedcat5,pctmedcat6
1970,.0837223,.1436936,.2536002,.3346348,.1089832,.0753658
1980,.1612796,.1027207,.2281873,.2880194,.1411462,.0786468
1990,.1675501,.0904162,.2273167,.2437002,.1460693,.1249475
2000,.1806392,.0849921,.2365828,.2161756,.1323609,.1492494
2007,.196165,.1034932,.1737037,.232989,.1195049,.1741444
