year,pctmedcat1,pctmedcat2,pctmedcat3,pctmedcat4,pctmedcat5,pctmedcat6
1970,.1123072,.1218078,.254062,.3409535,.1013353,.0695343
1980,.1273454,.1117388,.2688741,.2701449,.1454345,.0764624
1990,.1831892,.1350018,.1851846,.2117529,.1266371,.1582343
2000,.2083566,.1380436,.1690754,.1787941,.1124345,.1932958
2007,.2335413,.1067074,.1677653,.1367952,.1272869,.227904
