year,pctmedcat1,pctmedcat2,pctmedcat3,pctmedcat4,pctmedcat5,pctmedcat6
1970,.0849188,.098033,.3151234,.3315963,.0991636,.0711649
1980,.1552748,.0923764,.2423977,.2876777,.1271047,.0951686
1990,.1705121,.0836081,.2283555,.2488425,.1381441,.1305378
2000,.2162005,.0932837,.1789892,.1985707,.1439554,.1690006
2007,.2272549,.0831053,.1496028,.1927282,.1451153,.2021934
