year,pctmedcat1,pctmedcat2,pctmedcat3,pctmedcat4,pctmedcat5,pctmedcat6
1970,.0995661,.0759245,.3062285,.3614907,.1031999,.0535903
1980,.1559941,.0774451,.2291271,.3365785,.1212416,.0796137
1990,.1390575,.1113109,.2252641,.2774037,.1379098,.1090539
2000,.1700745,.0987909,.1891101,.2834418,.1543571,.1042255
2007,.1770932,.1121288,.1612373,.2363533,.1996368,.1135506
