year,pctmedcat1,pctmedcat2,pctmedcat3,pctmedcat4,pctmedcat5,pctmedcat6
1970,.0635126,.156143,.2822927,.3256159,.1145889,.0578469
1980,.142739,.1029369,.2250466,.3267125,.1048356,.0977293
1990,.1562636,.1107835,.2010877,.2789815,.1198392,.1330444
2000,.1861779,.1090043,.1829273,.2460641,.1318439,.1439825
2007,.1967235,.106819,.1552794,.235016,.1604967,.1456653
