year,pctmedcat1,pctmedcat2,pctmedcat3,pctmedcat4,pctmedcat5,pctmedcat6
1970,.1539933,.0890262,.2220518,.3158061,.117575,.1015476
1980,.2223813,.0911105,.1635855,.2307802,.1532454,.1388971
1990,.2298562,.1062678,.1551875,.1835296,.1460383,.1791205
2000,.2592891,.1138039,.1390532,.155489,.1120302,.2203347
2007,.2625473,.109116,.1379014,.1412111,.1099884,.2392359
