year,pctmedcat1,pctmedcat2,pctmedcat3,pctmedcat4,pctmedcat5,pctmedcat6
1970,.0283937,.0555813,.4357391,.3531202,.0898605,.0373052
1980,.047583,.080199,.3613371,.3934006,.0897969,.0276834
1990,.0468853,.1097449,.3386785,.3468106,.1189342,.0389465
2000,.0885022,.1366254,.269529,.3211286,.1188247,.06539
2007,.1294718,.1122404,.2555789,.2585985,.1570415,.087069
