year,pctmedcat1,pctmedcat2,pctmedcat3,pctmedcat4,pctmedcat5,pctmedcat6
1970,.0708642,.1199905,.3337359,.2943295,.1207151,.0603649
1980,.0903976,.1559838,.2430301,.3094456,.1297317,.0714112
1990,.1323236,.1446309,.2014065,.2723256,.159226,.0900875
2000,.1535344,.1406654,.1955155,.2526957,.1509309,.1066582
2007,.2143961,.0828872,.1578954,.2346559,.1822105,.127955
