year,pctmedcat1,pctmedcat2,pctmedcat3,pctmedcat4,pctmedcat5,pctmedcat6
1970,.0797774,.1164303,.2987798,.3147374,.1288489,.0614262
1980,.0562349,.1585898,.2627052,.3270281,.1316111,.0638309
1990,.0581056,.1776425,.2836527,.2435181,.1551821,.0818991
2000,.0802767,.1728038,.2743943,.2123926,.1356645,.1244681
2007,.1176569,.1597146,.2433205,.2096514,.1441381,.1255185
